year,col1,col2,col3,col4,col5,col6,col7,col8,name
2008,0,0,0,0,1,0,3,0,서울용산구
2009,1,3,0,0,5,3,7,0,서울용산구
2010,0,2,0,0,4,8,4,0,서울용산구
2011,1,1,0,0,8,9,10,0,서울용산구
2012,0,2,0,1,4,6,7,0,서울용산구
2013,1,3,0,0,6,8,11,0,서울용산구
2014,3,2,0,0,8,5,10,1,서울용산구
2015,0,6,0,0,7,11,15,0,서울용산구
2016,4,8,0,1,6,6,9,1,서울용산구
2017,4,7,0,3,14,9,17,1,서울용산구
2013,0,0,0,0,5,2,0,1,서울성동구
2014,8,2,0,0,7,3,2,0,서울성동구
2015,6,8,0,0,19,11,8,1,서울성동구
2016,10,15,0,2,25,9,9,0,서울성동구
2017,17,7,0,1,41,13,13,2,서울성동구
2008,0,0,0,0,2,2,1,0,경북포항시
2009,0,2,0,0,6,4,7,0,경북포항시
2010,0,1,0,0,6,7,15,0,경북포항시
2011,0,4,0,0,9,5,7,0,경북포항시
2012,0,0,0,0,7,5,7,1,경북포항시
2013,1,1,0,0,5,5,5,0,경북포항시
2014,1,4,0,0,7,7,6,0,경북포항시
2015,2,5,0,0,7,12,10,0,경북포항시
2016,2,4,0,0,9,5,12,0,경북포항시
2017,2,2,0,2,14,8,10,0,경북포항시
2008,0,1,0,0,2,1,0,0,서울중구
2009,0,0,0,0,2,6,2,0,서울중구
2010,0,1,0,1,5,5,3,0,서울중구
2011,0,0,0,0,11,5,6,0,서울중구
2012,0,5,0,1,8,6,9,0,서울중구
2013,0,0,0,0,7,5,7,0,서울중구
2014,1,2,0,0,5,4,5,0,서울중구
2015,9,7,0,1,12,4,6,0,서울중구
2016,6,11,0,0,16,7,6,0,서울중구
2017,5,3,0,2,20,7,5,1,서울중구
2008,0,0,0,0,4,3,3,0,서울본청
2009,0,1,0,0,12,4,16,0,서울본청
2010,1,11,0,1,34,17,8,0,서울본청
2011,0,5,0,1,15,30,20,0,서울본청
2012,2,10,0,0,13,15,18,0,서울본청
2013,2,10,0,1,16,12,14,0,서울본청
2014,0,15,0,0,20,17,24,1,서울본청
2015,4,13,0,0,30,26,22,0,서울본청
2016,0,14,0,2,17,9,19,0,서울본청
2017,2,16,0,5,19,23,23,0,서울본청
2008,0,1,0,0,1,4,0,0,서울종로구
2009,0,5,0,1,6,17,11,0,서울종로구
2010,0,16,0,0,9,18,20,0,서울종로구
2011,1,9,0,1,9,20,23,0,서울종로구
2012,1,18,0,1,12,7,16,0,서울종로구
2013,0,19,0,0,5,9,15,1,서울종로구
2014,0,25,0,0,9,8,16,0,서울종로구
2015,0,22,0,2,10,8,23,0,서울종로구
2016,3,20,0,2,9,9,15,0,서울종로구
2017,3,21,0,3,15,19,19,0,서울종로구
2009,8,0,0,0,0,0,0,0,서울광진구
2010,18,0,0,0,0,0,0,0,서울광진구
2011,33,0,0,0,0,0,0,0,서울광진구
2012,39,1,0,0,0,0,0,0,서울광진구
2013,37,2,0,0,0,0,0,0,서울광진구
2014,52,0,0,0,1,0,0,0,서울광진구
2015,69,8,0,0,5,0,0,1,서울광진구
2016,108,5,0,0,23,0,0,1,서울광진구
2017,79,1,0,0,12,0,0,0,서울광진구
2008,1,1,0,0,2,0,1,0,서울동대문구
2009,0,2,0,0,7,7,9,1,서울동대문구
2010,0,6,0,0,7,11,12,0,서울동대문구
2011,1,7,0,0,10,12,17,0,서울동대문구
2012,0,6,0,1,12,14,13,0,서울동대문구
2013,1,6,0,1,8,15,18,1,서울동대문구
2014,0,4,0,1,9,5,17,1,서울동대문구
2015,3,9,0,5,11,22,22,0,서울동대문구
2016,7,30,0,3,23,11,29,2,서울동대문구
2017,6,11,0,4,21,14,20,1,서울동대문구
2008,0,1,0,0,0,0,0,0,서울중랑구
2009,1,0,0,0,5,1,0,0,서울중랑구
2010,11,0,0,0,9,3,1,0,서울중랑구
2011,6,0,0,0,13,3,0,0,서울중랑구
2012,4,0,0,0,6,1,0,0,서울중랑구
2013,13,4,0,0,16,2,0,0,서울중랑구
2014,32,3,0,0,31,10,0,0,서울중랑구
2015,47,12,0,0,48,7,3,2,서울중랑구
2016,56,15,0,0,43,0,4,1,서울중랑구
2017,17,5,0,0,43,3,0,0,서울중랑구
2008,0,2,0,0,0,0,0,0,서울성북구
2009,0,5,0,0,8,12,6,0,서울성북구
2010,0,6,0,0,11,13,15,0,서울성북구
